# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
10250 155.167 -6243.06 -6087.89 721.411
10300 156.877 -6248.85 -6091.98 729.358
10350 153.403 -6246.33 -6092.93 713.206
10400 156.086 -6248.48 -6092.39 725.682
10450 157.869 -6249.51 -6091.64 733.969
10500 156.557 -6246.82 -6090.27 727.872
10550 157.913 -6248.16 -6090.25 734.177
10600 154.97 -6244.96 -6089.99 720.495
10650 154.436 -6239.67 -6085.23 718.01
10700 157.44 -6240.13 -6082.69 731.977
10750 153.52 -6235.01 -6081.49 713.753
10800 150.134 -6233.67 -6083.54 698.009
10850 151.266 -6239.65 -6088.38 703.274
10900 152.123 -6238.32 -6086.2 707.258
10950 157.046 -6244.38 -6087.34 730.144
11000 156.202 -6244.65 -6088.45 726.22
11050 157.388 -6248.49 -6091.1 731.735
11100 154.719 -6248.1 -6093.38 719.325
11150 158.299 -6248.53 -6090.23 735.968
11200 155.788 -6248.61 -6092.82 724.294
11250 155.55 -6249.22 -6093.67 723.189
11300 152.224 -6248.72 -6096.5 707.725
11350 152.567 -6242.27 -6089.7 709.323
11400 152.415 -6242.5 -6090.09 708.613
11450 152.774 -6239.38 -6086.6 710.282
11500 150.626 -6238.98 -6088.35 700.298
11550 151.943 -6237.91 -6085.97 706.419
11600 153.856 -6243.78 -6089.92 715.313
11650 154.763 -6242.91 -6088.14 719.533
11700 155.887 -6249.13 -6093.24 724.756
11750 154.4 -6246.6 -6092.2 717.842
11800 153.592 -6249.4 -6095.81 714.088
11850 154.489 -6249.21 -6094.72 718.256
11900 155.37 -6248.8 -6093.43 722.351
11950 154.582 -6246.04 -6091.45 718.69
12000 156.427 -6246.66 -6090.24 727.266
12050 151.971 -6242.93 -6090.96 706.548
12100 150.539 -6238.88 -6088.34 699.891
12150 153.537 -6238.58 -6085.04 713.83
12200 152.377 -6238.55 -6086.18 708.439
12250 152.282 -6237.9 -6085.62 707.995
12300 154.516 -6239.76 -6085.24 718.382
12350 155.381 -6243.05 -6087.67 722.405
12400 155.341 -6243.99 -6088.65 722.22
12450 156.827 -6247.69 -6090.86 729.124
12500 156.094 -6248.53 -6092.44 725.718
12550 154.815 -6247.66 -6092.84 719.772
12600 156.464 -6246.41 -6089.94 727.439
12650 157.038 -6246.4 -6089.36 730.11
12700 153.704 -6240.45 -6086.75 714.608
12750 153.737 -6240.75 -6087.01 714.762
12800 153.041 -6240.13 -6087.08 711.524
12850 151.023 -6236.53 -6085.51 702.144
12900 151.934 -6237.37 -6085.44 706.379
12950 154.44 -6240.6 -6086.16 718.031
13000 153.293 -6240.97 -6087.67 712.698
13050 154.678 -6241.85 -6087.17 719.137
13100 156.631 -6245.28 -6088.65 728.214
13150 156.757 -6243.85 -6087.1 728.803
13200 160.052 -6246.33 -6086.28 744.121
13250 157.106 -6245.8 -6088.69 730.423
13300 157.435 -6245.2 -6087.77 731.955
13350 156.595 -6241.24 -6084.64 728.047
13400 159.372 -6243.84 -6084.47 740.958
13450 153.485 -6237.66 -6084.17 713.589
13500 153.522 -6234.43 -6080.91 713.759
13550 154.245 -6237.6 -6083.36 717.122
13600 152.51 -6234.03 -6081.52 709.057
13650 155.034 -6235.06 -6080.02 720.789
13700 156.114 -6239.5 -6083.39 725.811
13750 157.418 -6242.64 -6085.22 731.873
13800 157.923 -6245.66 -6087.74 734.222
13850 154.841 -6243.06 -6088.22 719.892
13900 158.084 -6245.91 -6087.83 734.973
13950 155.634 -6246.13 -6090.49 723.582
14000 156.715 -6247.22 -6090.5 728.606
14050 154.377 -6244.03 -6089.65 717.734
14100 157.209 -6244.08 -6086.87 730.904
14150 152.992 -6240.39 -6087.39 711.295
14200 153.359 -6238.61 -6085.26 713.002
14250 152.872 -6236.92 -6084.05 710.737
14300 154.022 -6238.9 -6084.88 716.085
14350 154.276 -6237.36 -6083.09 717.265
14400 154.703 -6239.83 -6085.12 719.253
14450 157.171 -6242.96 -6085.79 730.725
14500 154.116 -6241.72 -6087.6 716.524
14550 156.097 -6245.02 -6088.92 725.731
14600 157.333 -6246.01 -6088.68 731.477
14650 156.735 -6246.82 -6090.09 728.7
14700 155.207 -6244.67 -6089.47 721.595
14750 154.038 -6246.51 -6092.47 716.159
14800 155.346 -6241.21 -6085.86 722.242
14850 154.523 -6241.96 -6087.44 718.414
14900 154.392 -6238.43 -6084.04 717.806
14950 154.742 -6238.56 -6083.82 719.435
15000 152.463 -6234.93 -6082.47 708.837
15050 155.259 -6238.8 -6083.54 721.839
15100 157.463 -6238.7 -6081.24 732.084
15150 158.552 -6240.82 -6082.26 737.149
15200 158.749 -6242.02 -6083.27 738.06
15250 157.303 -6243.11 -6085.8 731.341
15300 156.436 -6242.03 -6085.59 727.307
15350 156.657 -6244.63 -6087.97 728.338
15400 157.947 -6245.41 -6087.46 734.334
15450 156.633 -6241.96 -6085.33 728.225
15500 154.992 -6243.79 -6088.8 720.596
15550 151.017 -6237.51 -6086.5 702.113
15600 152.199 -6240.22 -6088.03 707.609
15650 154.557 -6240.92 -6086.37 718.571
15700 154.881 -6238.93 -6084.05 720.081
15750 154.688 -6238.96 -6084.27 719.181
15800 154.393 -6240.98 -6086.59 717.808
15850 155.452 -6242.6 -6087.15 722.734
15900 154.798 -6245.57 -6090.78 719.691
15950 155.707 -6247.54 -6091.84 723.918
16000 154.899 -6246.33 -6091.43 720.164
16050 154.584 -6246.74 -6092.15 718.697
16100 154.87 -6248.21 -6093.34 720.026
16150 153.082 -6244.57 -6091.49 711.714
16200 149.901 -6243.91 -6094.01 696.924
16250 151.603 -6245.17 -6093.56 704.837
16300 149.486 -6241.86 -6092.38 694.998
16350 151.626 -6240.9 -6089.27 704.947
16400 153.343 -6242.82 -6089.47 712.93
16450 152.102 -6244.69 -6092.58 707.161
16500 153.14 -6244.87 -6091.73 711.982
16550 152.393 -6244.66 -6092.26 708.512
16600 156.09 -6245.37 -6089.28 725.698
16650 157.751 -6247.21 -6089.46 733.421
16700 155.145 -6243.56 -6088.42 721.306
16750 156.081 -6244.32 -6088.24 725.657
16800 154.365 -6243.03 -6088.67 717.68
16850 155.5 -6242.03 -6086.53 722.955
16900 155.924 -6239.08 -6083.16 724.929
16950 155.271 -6240.41 -6085.14 721.892
17000 153.251 -6234.36 -6081.11 712.503
17050 153.843 -6240.68 -6086.84 715.253
17100 155.217 -6239.93 -6084.71 721.641
17150 155.562 -6240.23 -6084.67 723.246
17200 154.593 -6240.09 -6085.5 718.739
17250 156.723 -6243.34 -6086.62 728.641
17300 155.603 -6242.21 -6086.6 723.436
17350 157.366 -6245.14 -6087.77 731.635
17400 157.788 -6243.92 -6086.13 733.593
17450 154.285 -6243.68 -6089.39 717.307
17500 156.648 -6243.9 -6087.25 728.296
17550 153.888 -6239.25 -6085.36 715.462
17600 155.922 -6240.45 -6084.53 724.921
17650 153.868 -6239.8 -6085.93 715.367
17700 152.987 -6240.48 -6087.49 711.274
17750 151.386 -6239.61 -6088.22 703.828
17800 152.42 -6243.98 -6091.56 708.64
